test-rmse-mean,test-rmse-std,train-rmse-mean,train-rmse-std
0.4967634,1.15861986864e-05,0.4967512,6.56962708226e-06
0.4936026,2.17264815375e-05,0.4935781,1.29495173655e-05
0.4905177,3.41175907707e-05,0.4904801,1.84848586687e-05
0.4875037,4.35386035605e-05,0.4874525,2.36103790736e-05
0.4845633,5.63738414515e-05,0.484499,2.96276897513e-05
0.4816892,7.06622954623e-05,0.4816105,3.51688782875e-05
0.4788837,8.17521253546e-05,0.4787905,3.94493345951e-05
0.4761444,9.44396103338e-05,0.4760378,4.56460294002e-05
0.4734722,0.000102888094549,0.4733514,5.06304256352e-05
0.4708646,0.0001178924934,0.4707298,5.35141102888e-05
0.4683175,0.000129158236284,0.468168,5.67115508517e-05
0.4658341,0.000142494526211,0.465671,6.23217458035e-05
0.4634067,0.000155611085723,0.4632316,6.3829773617e-05
0.4610417,0.000167759381258,0.4608512,6.65489293678e-05
0.4587345,0.000180963670387,0.4585297,6.65192453355e-05
0.4564839,0.000192182959702,0.4562641,6.87276509129e-05
0.4542893,0.00020451212678,0.4540553,6.66123862356e-05
0.4521515,0.000215610876349,0.451903,6.98326571169e-05
0.4500615,0.000225104531274,0.4497987,7.07022630472e-05
0.4480262,0.000238858033149,0.4477488,7.19913883739e-05
0.4460404,0.000247856894195,0.4457487,7.16254842916e-05
0.4441052,0.000260428032285,0.4437993,7.42765777348e-05
0.4422153,0.000268903718829,0.4418959,7.57079256089e-05
0.4403767,0.000280155688859,0.4400418,7.9064277648e-05
0.4385812,0.000287098171363,0.4382339,8.08745324562e-05
0.4368337,0.000296257337462,0.4364727,8.17668025546e-05
0.4351256,0.000304013223397,0.4347509,8.51404134357e-05
0.4334671,0.000311830867619,0.4330779,8.80016477119e-05
0.4318472,0.000322260701917,0.4314448,8.96078121594e-05
0.4302703,0.000330915412152,0.4298546,9.14551256081e-05
0.4287352,0.000341549352217,0.4283063,9.19761382099e-05
0.4272358,0.000349324147462,0.4267947,9.410850121e-05
0.4257802,0.000359492086144,0.4253241,9.7170417309e-05
0.4243623,0.000369417663357,0.4238913,9.91151350703e-05
0.4229758,0.000375359774083,0.4224921,0.000101983773219
0.4216297,0.000383387284609,0.4211323,0.000103377995724
0.4203156,0.000391584780092,0.4198057,0.000107074786948
0.4190373,0.000403293205993,0.4185146,0.00010839114355
0.4177895,0.000409904684043,0.4172555,0.000112277557864
0.4165767,0.00041799642343,0.4160289,0.000115336420961
0.4153945,0.000426703468465,0.4148372,0.000119035960953
0.4142469,0.000438975956061,0.4136757,0.00011627729787
0.4131231,0.000447357899226,0.4125401,0.000119422317847
0.412038,0.000456161594175,0.4114408,0.000121980982124
0.4109732,0.000465169173527,0.4103651,0.000122726077099
0.4099388,0.000471464272241,0.4093175,0.000128255409243
0.4089313,0.000479468674681,0.4082992,0.000130448303937
0.4079526,0.000489816128767,0.4073073,0.000132008370947
0.4069984,0.000499272110176,0.40634,0.000133588173129
0.4060694,0.000509046599046,0.4053991,0.000133918968037
0.4051675,0.000516060122466,0.4044856,0.000136316690101
0.4042882,0.000524430700856,0.4035934,0.00013804071863
0.4034308,0.000533715991891,0.4027245,0.000142294940177
0.4025958,0.000543102715883,0.4018774,0.000140660726573
0.4017863,0.000555070995459,0.4010567,0.0001421
0.4009958,0.00056187575139,0.4002541,0.000141893234511
0.4002301,0.000569827947718,0.3994734,0.000141103649846
0.3994823,0.000574652077348,0.3987152,0.000141030351343
0.3987579,0.000581090948131,0.3979757,0.000143755382508
0.3980461,0.000587016260422,0.3972528,0.000144359135492
0.3973555,0.000592997681277,0.396552,0.000148444602462
0.3966815,0.000599199007009,0.3958657,0.000150517806256
0.396029,0.000608068746113,0.395201,0.000150497176053
0.3953927,0.000615127474594,0.394555,0.000150632001912
0.3947763,0.000619180918634,0.3939255,0.000153191546764
0.394176,0.000622237735918,0.3933123,0.000154761138533
0.3935893,0.000627910033365,0.3927141,0.000156121395074
0.3930189,0.00063354407108,0.3921332,0.000153627992241
0.3924656,0.000640089400006,0.3915656,0.000153510390528
0.3919266,0.000646896931512,0.3910147,0.000151439790016
0.3914008,0.000653187231963,0.390476,0.000150855560057
0.390891,0.000658266055634,0.389955,0.00015197894591
0.3903936,0.000662898664956,0.389446,0.000151369745986
0.3899102,0.000666391596586,0.3889507,0.00015242050387
0.3894431,0.000674911320101,0.3884704,0.000152583223193
0.3889898,0.000680180387838,0.3880033,0.000152978462536
0.3885465,0.000687130009532,0.38755,0.000151267974139
0.388117,0.000691312809081,0.3871102,0.000152670101854
0.3876988,0.000697964297081,0.3866826,0.000151921163766
0.3872931,0.000701540226929,0.3862676,0.000154032593953
0.3869001,0.00070838286964,0.3858644,0.000155552692037
0.3865177,0.000712828177053,0.3854724,0.000158592685834
0.386147,0.000718423134371,0.3850922,0.000159320933967
0.3857876,0.000724048230438,0.3847234,0.000159637840126
0.3854381,0.000729795923529,0.3843634,0.000161213647065
0.3850987,0.000734060086096,0.3840133,0.000163134944141
0.3847671,0.000739222625465,0.3836741,0.000164262868598
0.3844455,0.000744232792881,0.3833426,0.000165685968024
0.3841361,0.00074875983466,0.3830239,0.000165016029524
0.3838313,0.000754012605995,0.3827106,0.000165771046929
0.383537,0.000758919626838,0.3824057,0.000164782310944
0.3832469,0.000764816899656,0.3821065,0.000164490273269
0.3829659,0.000771600991446,0.3818156,0.00016525689093
0.3826933,0.000776503966506,0.3815337,0.000164950932098
0.3824246,0.000780218200249,0.3812572,0.000164641307089
0.3821651,0.000783113331517,0.3809886,0.000164806067849
0.3819104,0.000788620846795,0.3807266,0.000164142742758
0.3816634,0.000794256155154,0.38047,0.000162790048836
0.3814191,0.000798315783384,0.3802178,0.000162655341136
0.381188,0.000800193351634,0.3799769,0.000164975422412
0.3809551,0.000803034177355,0.379737,0.000167149633562
0.3807327,0.000803803589193,0.3795059,0.000168640119782
0.3805158,0.000808763599577,0.379279,0.000168704475341
0.3803059,0.000812944948936,0.3790594,0.000168896536377
0.3800975,0.000818038782699,0.3788436,0.000169022602039
0.3798935,0.000821740987173,0.3786299,0.000170010264396
0.3796987,0.000828449642404,0.3784257,0.00016891716905
0.379508,0.000833244621945,0.3782257,0.000168617347862
0.3793185,0.000835355523116,0.3780286,0.000168786373858
0.3791383,0.000838276332721,0.3778379,0.000171428964881
0.3789614,0.000841024755878,0.3776539,0.000171708153563
0.3787872,0.000843010652364,0.3774703,0.00017241174554
0.3786193,0.000844414477612,0.3772954,0.000175040109689
0.3784563,0.00084873235475,0.3771223,0.000176510651237
0.3782958,0.000852942413062,0.3769528,0.000176539967146
0.3781408,0.000854826742679,0.3767892,0.000176997062123
0.3779916,0.000856883445983,0.3766318,0.000178448760153
0.3778421,0.000857936646845,0.3764733,0.000179492088962
0.3776991,0.000855662719768,0.3763217,0.000182825627306
0.3775592,0.000854694541927,0.3761721,0.00018744356484
0.3774214,0.000857996876451,0.3760233,0.000186422128515
0.3772898,0.000864437366152,0.3758817,0.00018581283594
0.3771544,0.000867553825419,0.3757386,0.000185260465291
0.3770265,0.000872223509199,0.3756015,0.000187976195301
0.3768999,0.000876671597578,0.3754667,0.000188720984525
0.3767783,0.000879721325193,0.3753386,0.000189691433649
0.3766592,0.000883405999527,0.375211,0.000190310798432
0.3765385,0.000888405453608,0.3750821,0.000189116075467
0.3764264,0.000888382935451,0.3749595,0.000191403369876
0.376313,0.000896901332366,0.3748397,0.000191185799682
0.3762004,0.000898937728655,0.3747179,0.000189147270665
